team_name,project_name,source_code_url,video_url,homepage_url,created_at,updated_at,identifier,member_count,data_sets,challenge_names
Team 0% risk,smash the crash,https://github.com/YingxuanLi/GovHack_Team1465/blob/main/README.md,https://www.youtube.com/watch?v=T5MLYKGvp1Y,https://github.com/YingxuanLi/GovHack_Team1465,2021-08-22 16:11:03 +1000,2021-08-22 16:11:03 +1000,smash_the_crash,4,"[""https://www.data.qld.gov.au/dataset/crash-data-from-queensland-roads/resource/e88943c0-5968-4972-a15f-38e120d72ec0?truncate=30&inner_span=True""]",[]
I *do* know,Praxis,https://github.com/huukhang1512/meetings,https://youtu.be/kuA9rp1g-rc,https://huukhang1512.github.io/meetings/,2021-08-22 16:51:15 +1000,2021-08-22 16:51:15 +1000,praxis,6,"[""https://www.nationalskillscommission.gov.au/our-work/australian-skills-classification"", ""https://www.ncver.edu.au/__data/assets/pdf_file/0040/7682296/Online-delivery-of-VET-qualifications.pdf"", ""https://www.ncver.edu.au/research-and-statistics/data/all-data/completion-and-attrition-rates-for-apprentices-and-trainees-2020-state-and-territory-data-tables"", ""https://datadryad.org/stash/dataset/doi:10.5061/dryad.1g1jwstv8"", ""https://www.teqsa.gov.au/sites/default/files/student-experience-of-online-learning-in-australian-he-during-covid-19.pdf?v=1606953179"", ""https://www.adcet.edu.au/inclusive-teaching/understanding-disability/higher-education-statistics""]","[""Rethinking Education"", ""Health and wellbeing of autistic people during a pandemic""]"
Just Tripping Nudge,HydroSight,https://drive.google.com/drive/folders/1maTbi5sRys69hdQWZwClmklj1Bb-7Cyd?usp=sharing,https://youtu.be/-xqCKmne308,"",2021-08-22 16:50:33 +1000,2021-08-22 16:50:33 +1000,hydrosight,8,"[""http://www.bom.gov.au/water/dashboards/#/water-markets/mdb/et"", ""http://www.bom.gov.au/water/dashboards/#/water-markets/mdb/at"", ""https://riverdata.mdba.gov.au/list-view""]","[""IoT insights for better regional agribusiness at scale"", ""Reimagining Digital Government Services"", ""The digital future of agriculture"", ""Water information without borders"", ""The cost of water""]"
Immigration Nation,Immigration Nation,https://datastudio.google.com/reporting/a6522522-e576-4ea6-a364-c208d02fc067,https://youtu.be/r-77q84qNTg,"",2021-08-22 16:49:14 +1000,2021-08-22 16:49:14 +1000,immigration_nation,1,"[""https://www.data.qld.gov.au/dataset?q=immigration""]","[""Immigration""]"
Risky Business,Covid Safe Data APP,https://drive.google.com/drive/folders/1qpWSGQZgiA2E8c426mjQ7TXJQerKRH2L?usp=sharing,https://www.youtube.com/watch?v=2l4_dO5shzM,https://covidsafedata.com.au/,2021-08-22 16:46:46 +1000,2021-08-22 16:46:46 +1000,covid_safe_data_app,2,"[""https://www.abs.gov.au/media-centre/media-releases/economic-activity-increased-18-march-quarter"", ""https://data.crisper.net.au/table/covid_tests_postcode"", ""https://data.crisper.net.au/table/covid_cases_postcode""]","[""BETTER Public Spaces"", ""Our financial future"", ""Create a solution to a customer need using the ABS Data API"", ""Living in a post-pandemic world"", ""ROAD TO RECOVERY Public Spaces""]"
Avengers,Road Danger Indicator,https://github.com/krynj-dev/road-safety-dashboard,https://www.youtube.com/watch?v=_EBBC6P5Xb8,"",2021-08-22 16:46:07 +1000,2021-08-22 16:46:07 +1000,road_danger_indicator,2,"[""https://www.data.qld.gov.au/dataset/road-crash-locations-queensland""]","[""Road Safety""]"
Mana Jaja,Find My Home,https://github.com/jackcfraser/govhack2021,https://www.youtube.com/watch?v=vUWYUCOHT7I,https://sites.google.com/view/findmyhome-govhack2021,2021-08-22 16:39:59 +1000,2021-08-22 16:39:59 +1000,find_my_home,4,"[""https://stat.data.abs.gov.au/"", ""https://www.abs.gov.au/statistics/people/population/migration-australia/2019-20"", ""https://www.abs.gov.au/statistics/people/population/regional-internal-migration-estimates-provisional/mar-2021""]","[""Brisbane Olympics"", ""Emerging population trends and post-pandemic planning"", ""Create a solution to a customer need using the ABS Data API"", ""BETTER Public Spaces"", ""Immigration""]"
Team Coco,But where are we REALLY from?,https://github.com/WongResearch/TeamCoCo2021,https://youtu.be/V5rhNmb8taA,https://teamcoco2021.nke.net/,2021-08-22 16:23:31 +1000,2021-08-22 16:23:31 +1000,but_where_are_we_really_from,3,"[""https://www.data.qld.gov.au/dataset/register-of-immigrants-1864-to-1878"", ""https://api.data.abs.gov.au/data/ABS%2CABS_NOM_VISA_CY%2C1.0.0/1%2B2%2B3%2B4%2B5%2B6%2B7%2B8%2B9%2B10%2B11%2B12%2B13%2B14%2B15%2B16%2B17.1.AUS.A?detail=full"", ""https://data.gov.au/data/dataset/australian-migration-statistics"", ""https://www.aph.gov.au/About_Parliament/Parliamentary_Departments/Parliamentary_Library/Publications_Archive/online/Refugeess8"", ""https://www.naa.gov.au/learn/learning-resources/learning-resource-themes/society-and-culture/migration-and-multiculturalism/development-australian-immigration-policy-memorandum-timeline""]","[""Create a solution to a customer need using the ABS Data API"", ""Immigration""]"
Big Brain Club,Internet Of Ag,https://github.com/tannishpage/GovHack2021,https://youtu.be/yUblyK-C8Sc,https://tannishpage.github.io/GovHack2021/,2021-08-22 16:04:20 +1000,2021-08-22 16:04:20 +1000,internet_of_ag,3,"[""http://data.daff.gov.au/data/warehouse/9aat/2018/fdati9aat20180822/FoodDemandInAustralia_20180822_v1.0.0.pdf"", ""https://www.daf.qld.gov.au/strategic-direction/datafarm/agricultural-exports"", ""https://www.daf.qld.gov.au/strategic-direction/datafarm/regions-beyond-agricultural-commodities"", ""https://www.daf.qld.gov.au/strategic-direction/datafarm/qld-agtrends"", ""https://datahub.moretonbay.qld.gov.au/datasets/iot-devices/explore?location=-27.162354%2C152.928043%2C9.92"", ""https://www.abs.gov.au/statistics/industry/agriculture/land-management-and-farming-australia/2016-17"", ""https://www.abs.gov.au/statistics/industry/agriculture/water-use-australian-farms/2019-20"", ""https://www.abs.gov.au/statistics/industry/agriculture/value-agricultural-commodities-produced-australia/2019-20"", ""https://www.qld.gov.au/environment/pollution/monitoring/air/air-monitoring""]","[""IoT insights for better regional agribusiness at scale"", ""Sustainable Moreton Bay (QLD)""]"
Scrubby Hackers,Project Olympic AR,"",https://youtu.be/R_5PbcBM3GI,"",2021-08-22 14:55:45 +1000,2021-08-22 14:55:45 +1000,project_olympic_ar,2,"[""https://www.data.qld.gov.au/dataset/gold-coast-2018-commonwealth-games-competition-venues""]","[""Brisbane Olympics""]"
Social Suicide,Social Status,"","","",2021-08-21 16:36:46 +1000,2021-08-21 16:36:46 +1000,social_status,3,"[""https://www.sciencedirect.com/science/article/pii/S0747563214003227"", ""https://www.thesocialdilemma.com/"", ""https://www.psychology.org.au/news/media_releases/8Nov2015-fomo/"", ""https://www.pewresearch.org/internet/2018/05/31/teens-social-media-technology-2018/""]","[""Youth education and employment"", ""Hack for a Circular Economy"", ""Exploring the National Skills Commission’s Australian Skills Classification"", ""Health and wellbeing of autistic people during a pandemic"", ""Jobs and Growth for Moreton Bay (QLD)""]"
CropShip,Tracktor,"",https://youtu.be/jopYfMG7L-g,"",2021-08-23 19:54:28 +1000,2021-08-23 19:54:28 +1000,tracktor,2,"[""https://openfoodnetwork.org.au""]","[""The digital future of agriculture""]"
